gut_id,title,authors,languages,downloads,subjects,gutenberg_epub_url
32451,Women of Early Christianity,"Carroll, Mitchell, Brittain, Alfred",en,354,"Christian biography; Women -- Biography; Women -- History -- Middle Ages, 500-1500; Women in Christianity -- History -- Early church, ca. 30-600",https://www.gutenberg.org/ebooks/32451.epub3.images
38838,"Tales From the ""Phantasus,"" etc. of Ludwig Tieck","Tieck, Ludwig",en,354,German fiction -- Translations into English,https://www.gutenberg.org/ebooks/38838.epub3.images
48406,The Atomic Fingerprint: Neutron Activation Analysis,"Keisch, Bernard",en,354,Nuclear activation analysis,https://www.gutenberg.org/ebooks/48406.epub3.images
52297,Medical Women: Two Essays,"Jex-Blake, Sophia",en,354,Women in medicine,https://www.gutenberg.org/ebooks/52297.epub3.images
4071,"Monsieur Lecoq, v. 1","Gaboriau, Emile",en,353,Detective and mystery stories; French fiction -- Translations into English,https://www.gutenberg.org/ebooks/4071.epub3.images
6786,The Piccolomini: A Play,"Schiller, Friedrich",en,353,"Thirty Years' War, 1618-1648 -- Drama; Wallenstein, Albrecht Wenzel Eusebius von, Herzog von Friedland, 1583-1634 -- Drama",https://www.gutenberg.org/ebooks/6786.epub3.images
17705,"The Tales of the Heptameron, Vol. 5 (of 5)","Marguerite, Queen, consort of Henry II, King of Navarre",en,353,"Love stories, French -- Translations into English; Tales -- France -- Translations into English",https://www.gutenberg.org/ebooks/17705.epub3.images
30012,L'Aiglon,"Rostand, Edmond",en,353,"Bonaparte, François-Charles-Joseph, Herzog von Reichstadt, 1811-1832 -- Drama",https://www.gutenberg.org/ebooks/30012.epub3.images
41245,"A Guide to the Virginia Springs: Giving, in addition to the routes and distances, a description of the springs and also of the natural curiosities of the state","Moorman, J. J. (John Jennings)",en,353,Health resorts -- Virginia; Springs -- Virginia; Virginia -- Description and travel,https://www.gutenberg.org/ebooks/41245.epub3.images
51481,Flying Machines Today,"Ennis, William D. (William Duane)",en,353,Aeronautics; Flying-machines,https://www.gutenberg.org/ebooks/51481.epub3.images
73335,Aberdeenshire,"Mackie, Alexander",en,353,Aberdeenshire (Scotland),https://www.gutenberg.org/ebooks/73335.epub3.images
5793,Stories of Red Hanrahan,"Yeats, W. B. (William Butler)",en,352,Ireland -- Social life and customs -- Fiction,https://www.gutenberg.org/ebooks/5793.epub3.images
8779,"The Divine Comedy by Dante, Illustrated, Hell, Volume 01",Dante Alighieri,en,352,"Epic poetry, Italian -- Translations into English; Hell -- Poetry; Italian poetry -- To 1400 -- Translations into English",https://www.gutenberg.org/ebooks/8779.epub3.images
13722,Youth and Sex: Dangers and Safeguards for Girls and Boys,"Scharlieb, Mary, Sibly, Frederick Arthur",en,352,Adolescence; Child psychology; Moral conditions; Sex (Psychology); Sexual ethics; Youth,https://www.gutenberg.org/ebooks/13722.epub3.images
33348,Reveries over Childhood and Youth,"Yeats, W. B. (William Butler)",en,352,"Ireland -- Social life and customs; Poets, Irish -- 19th century -- Biography; Yeats, W. B. (William Butler), 1865-1939 -- Childhood and youth",https://www.gutenberg.org/ebooks/33348.epub3.images
38943,"Science and Medieval Thought: The Harveian Oration Delivered Before the Royal College of Physicians, October 18, 1900","Allbutt, T. Clifford (Thomas Clifford)",en,352,"Philosophy, Medieval",https://www.gutenberg.org/ebooks/38943.epub3.images
48028,The Metaphysic of Christianity and Buddhism: A Symphony,"Strong, D. M. (Dawsonne Melanchthon)",en,352,Buddhism; Christianity; Christianity and other religions -- Buddhism,https://www.gutenberg.org/ebooks/48028.epub3.images
50906,Savrola: A Tale of the Revolution in Laurania,"Churchill, Winston",en,352,Political fiction; Revolutions -- Fiction,https://www.gutenberg.org/ebooks/50906.epub3.images
67326,The A.B.-Z. of our own nutrition,"Fletcher, Horace",en,352,Diet; Nutrition,https://www.gutenberg.org/ebooks/67326.epub3.images
70624,Sanitation in Panama,"Gorgas, William Crawford",en,352,Sanitation -- Cuba -- Havana; Sanitation -- Panama; Yellow fever -- Cuba -- Havana,https://www.gutenberg.org/ebooks/70624.epub3.images
2262,Timon of Athens,"Shakespeare, William",en,351,Athens (Greece) -- Drama; Timon of Athens (Legendary character) -- Drama; Tragedies (Drama),https://www.gutenberg.org/ebooks/2262.epub3.images
3583,Essays of Michel de Montaigne — Volume 03,"Montaigne, Michel de",en,351,French essays -- Translations into English,https://www.gutenberg.org/ebooks/3583.epub3.images
