domain,gut_id,title,authors,languages,downloads,subjects,preferred_source,preferred_url,gutenberg_epub_url
literature_core,996,Don Quixote,"Cervantes Saavedra, Miguel de",en,15477,Knights and knighthood -- Spain -- Fiction; Picaresque literature; Romances; Spain -- Social life and customs -- 16th century -- Fiction,standardebooks,https://standardebooks.org/ebooks/miguel-de-cervantes-saavedra/don-quixote/john-ormsby/downloads/miguel-de-cervantes-saavedra_don-quixote_john-ormsby.epub?source=feed,https://www.gutenberg.org/ebooks/996.epub3.images
literature_core,1023,Bleak House,"Dickens, Charles",en,15198,Bildungsromans; Domestic fiction; Guardian and ward -- Fiction; Illegitimate children -- Fiction; Inheritance and succession -- Fiction; Legal stories; London (England) -- Fiction; Young women -- Fiction,gutenberg,https://www.gutenberg.org/ebooks/1023.epub3.images,https://www.gutenberg.org/ebooks/1023.epub3.images
literature_core,26,Paradise Lost,"Milton, John",en,14857,Adam (Biblical figure) -- Poetry; Bible. Genesis -- History of Biblical events -- Poetry; Eve (Biblical figure) -- Poetry; Fall of man -- Poetry,standardebooks,https://standardebooks.org/ebooks/john-milton/paradise-lost/downloads/john-milton_paradise-lost.epub?source=feed,https://www.gutenberg.org/ebooks/26.epub3.images
literature_core,1600,Symposium,Plato,en,14833,"Classical literature; Love -- Early works to 1800; Philosophy, Ancient; Socrates, 470 BC-399 BC",gutenberg,https://www.gutenberg.org/ebooks/1600.epub3.images,https://www.gutenberg.org/ebooks/1600.epub3.images
literature_core,219,Heart of Darkness,"Conrad, Joseph",en,14434,Africa -- Fiction; Degeneration -- Fiction; Europeans -- Africa -- Fiction; Imperialism -- Fiction; Psychological fiction; Trading posts -- Fiction,standardebooks,https://standardebooks.org/ebooks/joseph-conrad/heart-of-darkness/downloads/joseph-conrad_heart-of-darkness.epub?source=feed,https://www.gutenberg.org/ebooks/219.epub3.images
literature_core,829,Gulliver's Travels into Several Remote Nations of the World,"Swift, Jonathan",en,14334,"Fantasy fiction; Gulliver, Lemuel (Fictitious character) -- Fiction; Satire; Travelers -- Fiction; Voyages, Imaginary -- Early works to 1800",gutenberg,https://www.gutenberg.org/ebooks/829.epub3.images,https://www.gutenberg.org/ebooks/829.epub3.images
literature_core,16,Peter Pan : $b [Peter and Wendy],"Barrie, J. M. (James Matthew)",en,14077,Fairies -- Fiction; Fantasy literature; Never-Never Land (Imaginary place) -- Fiction; Peter Pan (Fictitious character) -- Fiction; Pirates -- Fiction,gutenberg,https://www.gutenberg.org/ebooks/16.epub3.images,https://www.gutenberg.org/ebooks/16.epub3.images
literature_core,1524,Hamlet,"Shakespeare, William",en,13347,Denmark -- Drama; Fathers -- Death -- Drama; Hamlet (Legendary character) -- Drama; Kings and rulers -- Succession -- Drama; Murder victims' families -- Drama; Princes -- Drama; Revenge -- Drama; Tragedies (Drama),standardebooks,https://standardebooks.org/ebooks/william-shakespeare/hamlet/downloads/william-shakespeare_hamlet.epub?source=feed,https://www.gutenberg.org/ebooks/1524.epub3.images
literature_core,10,The King James Version of the Bible,Unknown,en,12116,Bible,gutenberg,https://www.gutenberg.org/ebooks/10.epub3.images,https://www.gutenberg.org/ebooks/10.epub3.images
literature_core,3300,An Inquiry into the Nature and Causes of the Wealth of Nations,"Smith, Adam",en,11876,Economics,gutenberg,https://www.gutenberg.org/ebooks/3300.epub3.images,https://www.gutenberg.org/ebooks/3300.epub3.images
